Date: 20260102
OSC: 0.005533153253574312
Prev Date: 20251231
Prev OSC: -0.008614952984256876
Condition MATCHED: Prev <= 0 and Curr > 0

Last 10 days data:
        Date    收盤價       DIF      MACD       OSC
35  20251218  24.80 -0.100064  0.142085 -0.242150
36  20251219  24.80 -0.131175  0.087433 -0.218608
37  20251222  25.40 -0.115166  0.046914 -0.162079
38  20251223  26.00 -0.058433  0.025844 -0.084277
39  20251224  25.65 -0.032264  0.014223 -0.046487
40  20251226  25.40 -0.027348  0.005909 -0.033257
41  20251229  25.60 -0.017202  0.001286 -0.018488
42  20251230  25.50 -0.016037 -0.002178 -0.013859
43  20251231  25.50 -0.012947 -0.004332 -0.008615
44  20260102  25.55  0.002584 -0.002949  0.005533
